Date,Open,High,Low,Close,Adj Close,Volume
2012/5/18,10.328571,10.392857,9.337143,9.994286,9.994286,29415400
2012/5/21,9.978571,10.312857,9.65,10.248571,10.248571,25143300
2012/5/22,10.257143,10.342857,9.607143,9.672857,9.672857,40014800
2012/5/23,9.638571,10.307143,9.595714,10.272857,10.272857,44100000
2012/5/24,10.217143,10.241429,9.928571,10.038571,10.038571,20742400
2012/5/25,10.085714,10.501429,9.984286,10.031429,10.031429,33371100
2012/5/29,10.151429,10.164286,9.742857,9.92,9.92,31997000
2012/5/30,9.782857,9.857143,9.571429,9.62,9.62,32890900
2012/5/31,9.528571,9.681429,8.91,9.062857,9.062857,53803400
2012/6/1,8.707143,9.104286,8.671429,8.992857,8.992857,35578200
2012/6/4,9.035714,9.32,8.91,9.285714,9.285714,35291200
2012/6/5,9.287143,9.475714,9.178571,9.261429,9.261429,24048500
2012/6/6,9.38,9.767143,9.307143,9.411429,9.411429,30676800
2012/6/7,9.514286,9.557143,9.201429,9.234286,9.234286,21045500
2012/6/8,9.195714,9.445714,9.104286,9.377143,9.377143,22017100
2012/6/11,9.484286,9.512857,8.997143,9,9,22941100
2012/6/12,9.037143,9.194286,8.907143,9.002857,9.002857,20797700
2012/6/13,8.942857,9.205714,8.875714,8.975714,8.975714,17924900
2012/6/14,8.97,9.021429,8.717143,8.951429,8.951429,26137300
2012/6/15,9.038571,9.418571,8.961429,9.398571,9.398571,33022500
2012/6/18,9.294286,9.564286,9.255714,9.532857,9.532857,22997800
2012/6/19,9.557143,10.068571,9.507143,9.975714,9.975714,27706700
2012/6/20,9.925714,9.935714,9.658571,9.737143,9.737143,26638500
2012/6/21,9.751429,9.777143,9.392857,9.405714,9.405714,17690400
2012/6/22,9.462857,9.752857,9.385714,9.694286,9.694286,18074700
2012/6/25,9.687143,9.932857,9.485714,9.575714,9.575714,30746100
2012/6/26,9.601429,9.672857,9.477143,9.542857,9.542857,15611400
2012/6/27,9.575714,9.607143,9.371429,9.498571,9.498571,15383200
2012/6/28,9.442857,9.722857,9.397143,9.622857,9.622857,15090600
2012/6/29,9.757143,9.822857,9.547143,9.784286,9.784286,19991300
2012/7/2,9.824286,9.842857,9.607143,9.692857,9.692857,12992700
2012/7/3,9.784286,10.397143,9.672857,10.291429,10.291429,25261600
2012/7/5,10.618571,11.842857,10.608571,11.674286,11.674286,104498100
2012/7/6,11.962857,12.2,11.46,11.698571,11.698571,85261400
2012/7/9,11.854286,12.027143,11.45,11.855714,11.855714,43262800
2012/7/10,11.96,11.971429,11.361429,11.461429,11.461429,35242200
2012/7/11,11.442857,12.124286,11.411429,11.662857,11.662857,43044400
2012/7/12,11.645714,12.214286,11.5,12.138571,12.138571,41447700
2012/7/13,12.254286,12.378571,11.988571,12.128571,12.128571,39032000
2012/7/16,12.158571,12.221429,11.804286,11.854286,11.854286,20946800
2012/7/17,11.892857,11.927143,11.524286,11.682857,11.682857,27820800
2012/7/18,11.607143,11.844286,11.534286,11.61,11.61,21576100
2012/7/19,11.708571,12.118571,11.645714,11.874286,11.874286,29133300
2012/7/20,11.808571,11.931429,11.642857,11.688571,11.688571,24369800
2012/7/23,11.532857,11.602857,11.214286,11.42,11.42,30965200
2012/7/24,11.581429,11.781429,11.115714,11.484286,11.484286,64700300
2012/7/25,9.172857,9.542857,8.457143,8.611429,8.611429,173470500
2012/7/26,8.472857,8.494286,8.02,8.144286,8.144286,79756600
2012/7/27,8.194286,8.467143,8.142857,8.417143,8.417143,38009300
2012/7/30,8.418571,8.565714,8.047143,8.25,8.25,29932700
2012/7/31,8.207143,8.331429,8.087143,8.121429,8.121429,17320800
2012/8/1,8.204286,8.254286,7.728571,7.785714,7.785714,33832400
2012/8/2,7.754286,7.955714,7.612857,7.695714,7.695714,23945600
2012/8/3,7.837143,7.925714,7.544286,7.701429,7.701429,37295300
2012/8/6,7.791429,8.167143,7.73,8.112857,8.112857,28527800
