,0,1,2,Date
0,-20024.620543555102,-25914.27145572352,-37798.25080492984,2020-05-01
0,-19159.566446661982,-33688.095078247374,-52208.409203127994,2020-05-04
0,-10448.850197552503,-1523.7451568924412,6347.657055678436,2020-05-05
0,-12049.082890523723,-8313.477138999328,-9782.18485158312,2020-05-06
0,-22335.32315677599,-43239.23772520513,-60418.914897755996,2020-05-07
0,-13310.639090107878,-10572.640369940342,-9351.723673801906,2020-05-08
0,-18333.322875606733,-24659.698566662195,-28789.083688040217,2020-05-11
0,-15111.082577220972,-18793.3889129605,-21905.915469421,2020-05-12
0,-17060.34948728057,-19913.80332249972,-22963.823851110465,2020-05-13
0,-16471.142861318694,-18554.954972044896,-17562.264256495822,2020-05-14
0,-15294.425261426843,-13050.704138106423,-10218.523099734182,2020-05-15
0,-18824.110736793362,-31728.8637514782,-40414.578420515936,2020-05-18
0,-14026.345351882537,-8851.266950265954,-6936.625552025217,2020-05-19
0,-17820.365367251277,-19733.20368403088,-23436.82229308304,2020-05-20
0,-14740.956451522114,-15514.355916121593,-15886.138940977611,2020-05-21
0,-12657.72645294034,-16424.03384699113,-19207.65402686777,2020-05-22
0,-15174.13515634848,-10996.037399553074,-10027.009846311003,2020-05-26
0,-10603.468332699058,-8839.825670880728,-2433.2212992551063,2020-05-27
0,-17686.29014318339,-21864.99252041524,-21918.150532126856,2020-05-28
0,-13500.190866678184,-11055.009162125942,-12083.02668732704,2020-05-29
0,-17029.285582438522,-23082.430697833184,-23807.280602493473,2020-06-01
0,-16096.346604317108,-15143.64121563806,-14393.25008450008,2020-06-02
0,-16710.40055076938,-19415.71723995393,-22319.090262776062,2020-06-03
0,-14622.482383240436,-11030.05435906549,-6757.688601908337,2020-06-04
0,-15331.974873801377,-11018.015172966412,-10004.926511756401,2020-06-05
0,-18020.17430209292,-17826.868130017265,-20706.558868446915,2020-06-08
0,-15620.609291912175,-18266.60060904361,-21338.018998088977,2020-06-09
0,-18863.674549910364,-24482.73498468834,-27557.218644084787,2020-06-10
0,-16896.08369812841,-16282.619477873866,-14875.241514646625,2020-06-11
0,-16571.65451211022,-11854.241699321807,-14156.604870797413,2020-06-12
0,-10078.844963340665,-1635.1182051556118,5048.311046832827,2020-06-15
0,-15896.620319452031,-12945.445767650532,-12502.374136663497,2020-06-16
0,-18512.328534313812,-26144.08300981396,-32271.82831885627,2020-06-17
0,-14070.391291025651,-16672.794082855336,-17968.29930164691,2020-06-18
0,-12932.072338504862,-16096.090081087212,-17457.712116451217,2020-06-19
0,-14313.961902090847,-13658.993491826093,-15282.254342636466,2020-06-22
0,-16583.63365720394,-17654.34132543923,-18275.65283410503,2020-06-23
0,-15404.292638011271,-18384.43697300018,-22630.848251299714,2020-06-24
0,-12770.27045211598,-16306.065000981822,-18885.253613846133,2020-06-25
0,-14126.958674832955,-13066.143903119913,-12229.574319652964,2020-06-26
0,-12947.693292846076,-13531.35534427693,-11409.915483596209,2020-06-29
0,-14741.525863594736,-18767.98110202593,-16999.798927258842,2020-06-30
0,-13265.79367867525,-10895.054238194465,-8705.502602767989,2020-07-01
0,-19922.044016425454,-33439.73522223758,-44407.59735678183,2020-07-02
0,-12225.72171772373,-11103.688817694518,-10439.065740097201,2020-07-06
0,-15289.346592115588,-22821.725641629368,-26455.407910977094,2020-07-07
0,-14605.944320384331,-16457.26719903162,-14688.937831959247,2020-07-08
0,-16587.46999381367,-31539.05310093751,-43397.20958951929,2020-07-09
0,-11728.587436150958,-6928.239120142568,-1067.4505722479266,2020-07-10
0,-15643.234817067409,-27510.896823281833,-34263.927460871055,2020-07-13
0,-8760.263850701673,-4896.525675489425,2402.014614540416,2020-07-14
0,-12667.373132687735,-15494.098445475043,-13805.976873785145,2020-07-15
0,-14012.278415925435,-9281.86593965884,-7665.006271557547,2020-07-16
0,-16208.80143462707,-28579.73731888664,-32284.711283072586,2020-07-17
0,-10916.391861794264,-2615.4376623177623,4916.287018921902,2020-07-20
0,-15086.82557571671,-24408.421976289002,-27298.12717529687,2020-07-21
0,-12987.028278367035,-15453.115895676638,-12381.359775039562,2020-07-22
0,-15570.1476076718,-21646.892094228093,-26179.75899629457,2020-07-23
