,0,1,2,Date
0,-23880.92,-53399.37,-71642.77,2020-05-01
0,-23917.8,-53481.82,-71753.39,2020-05-04
0,-23856.31,-53344.34,-71568.94,2020-05-05
0,-23848.16,-53326.1,-71544.47,2020-05-06
0,-23842.61,-53313.69,-71527.82,2020-05-07
0,-23826.02,-53276.6,-71478.06,2020-05-08
0,-23808.13,-53236.6,-71424.39,2020-05-11
0,-23789.94,-53195.92,-71369.82,2020-05-12
0,-23807.38,-53234.92,-71422.14,2020-05-13
0,-23775.95,-53164.65,-71327.86,2020-05-14
0,-23776.25,-53165.31,-71328.74,2020-05-15
0,-23761.53,-53132.39,-71284.58,2020-05-18
0,-23758.55,-53125.73,-71275.65,2020-05-19
0,-23752.02,-53111.13,-71256.06,2020-05-20
0,-23756.2,-53120.48,-71268.61,2020-05-21
0,-23745.91,-53097.46,-71237.72,2020-05-22
0,-23746.79,-53099.44,-71240.38,2020-05-26
0,-23751.72,-53110.47,-71255.17,2020-05-27
0,-23754.21,-53116.02,-71262.62,2020-05-28
0,-23754.0,-53115.57,-71262.01,2020-05-29
0,-23750.49,-53107.7,-71251.46,2020-06-01
0,-23749.37,-53105.2,-71248.11,2020-06-02
0,-23739.75,-53083.7,-71219.26,2020-06-03
0,-23728.1,-53057.65,-71184.31,2020-06-04
0,-23741.97,-53088.67,-71225.92,2020-06-05
0,-23721.24,-53042.3,-71163.72,2020-06-08
0,-23721.67,-53043.28,-71165.02,2020-06-09
0,-23723.31,-53046.93,-71169.92,2020-06-10
0,-23711.62,-53020.8,-71134.87,2020-06-11
0,-23777.11,-53167.24,-71331.34,2020-06-12
0,-23775.92,-53164.58,-71327.76,2020-06-15
0,-23773.57,-53159.32,-71320.71,2020-06-16
0,-23762.57,-53134.71,-71287.7,2020-06-17
0,-23756.67,-53121.53,-71270.01,2020-06-18
0,-23759.4,-53127.64,-71278.21,2020-06-19
0,-23736.5,-53076.43,-71209.5,2020-06-22
0,-23730.74,-53063.54,-71192.21,2020-06-23
0,-23728.87,-53059.36,-71186.6,2020-06-24
0,-23754.54,-53116.77,-71263.63,2020-06-25
0,-23724.56,-53049.72,-71173.67,2020-06-26
0,-23813.23,-53248.01,-71439.7,2020-06-29
