,0,1,2,Date
0,-17793.71664102431,-22397.333046439497,-32932.457085705704,2020-05-01
0,-15793.975546901609,-30925.55403006789,-47093.82477251759,2020-05-04
0,-7937.076706078763,2961.410835848483,9979.996346775502,2020-05-05
0,-8544.027858145191,-5047.371081261864,-3418.379484001385,2020-05-06
0,-20875.331734661715,-38646.041783179586,-56815.128397246095,2020-05-07
0,-9970.488222427934,-4088.015386595774,-2981.972576719969,2020-05-08
0,-15265.176515176443,-20962.392702456462,-24626.113499338073,2020-05-11
0,-11793.69465612281,-15960.067101050154,-16790.026739623703,2020-05-12
0,-13855.362977859484,-16448.194322159492,-18959.180436988627,2020-05-13
0,-12041.065932816897,-12093.784527844546,-12311.534017119717,2020-05-14
0,-12993.45939809502,-8638.657798735316,-7241.658036814718,2020-05-15
0,-17607.502375155735,-28059.777902098915,-36962.793695992266,2020-05-18
0,-9006.304681792955,-4794.671190725349,-1749.548646193551,2020-05-19
0,-14632.07901457997,-14902.44765500598,-17034.76265784058,2020-05-20
0,-12313.772309567456,-11845.075697330265,-11012.225930674993,2020-05-21
0,-9485.101831852417,-11420.076582087322,-12509.61550159119,2020-05-22
0,-8600.193953336267,-7048.497644308845,-4572.553964289803,2020-05-26
0,-8257.73491325356,-5192.745454769055,-540.5265345386999,2020-05-27
0,-14869.56540485975,-16791.92043896258,-17965.959123128472,2020-05-28
0,-9976.342028371248,-7517.274655480757,-8029.909635300643,2020-05-29
0,-14937.221152016611,-19798.386561155185,-21399.092152588164,2020-06-01
0,-13456.089606172929,-11884.416636329222,-9244.043516039765,2020-06-02
0,-13748.295756857347,-16846.07835474036,-18845.321361528302,2020-06-03
0,-12372.463828116077,-6592.9334059303255,-3899.0377333779065,2020-06-04
0,-11548.19451398589,-8813.323025027858,-7193.270918423183,2020-06-05
0,-15740.514296201947,-15651.72985617806,-17169.88917034631,2020-06-08
0,-14008.219268711448,-14551.071765912598,-15768.320154077368,2020-06-09
0,-16437.038043563818,-19423.552600864106,-23123.9298225343,2020-06-10
0,-13162.22163716532,-12166.84809561336,-12357.102608780015,2020-06-11
0,-13853.508226549962,-8924.256797938991,-10267.33208189252,2020-06-12
0,-6038.89055190447,1508.600257390608,7283.986402444858,2020-06-15
0,-14120.453058600764,-10087.540504955865,-8007.491913466095,2020-06-16
0,-16274.104272625571,-24044.062592227267,-29635.1189905283,2020-06-17
0,-12270.854717938148,-12450.460462961364,-11796.283860288482,2020-06-18
0,-10576.784530295754,-11085.811113192147,-15392.406842110186,2020-06-19
0,-11247.931412580956,-11389.2453009016,-10681.43490893442,2020-06-22
0,-14450.271127690216,-14045.953953132861,-15769.946337711366,2020-06-23
0,-12574.20132442149,-15076.375991003277,-18515.951053094857,2020-06-24
0,-10539.345244446615,-12901.275781117514,-15774.935012715785,2020-06-25
0,-12333.104356378522,-9019.82050936467,-7607.151018553715,2020-06-26
0,-10323.503452339486,-10111.111487880344,-8309.260215712333,2020-06-29
0,-12249.929299526122,-14173.549262567827,-14237.983693871813,2020-06-30
0,-10878.128326276425,-9090.74073199475,-5743.737658654383,2020-07-01
0,-17520.855713478733,-31066.75035737469,-42720.2276030407,2020-07-02
0,-9639.138511815157,-7500.909536970777,-6929.993626275601,2020-07-06
0,-14271.915710975825,-19582.131386941208,-22076.645145960374,2020-07-07
0,-11993.741274577167,-13612.565315975498,-12256.487240604758,2020-07-08
0,-15383.26658154502,-29541.05031740198,-39326.1805893944,2020-07-09
0,-8588.28630434066,-5560.001463876824,1154.2444011952896,2020-07-10
0,-14989.301554682608,-25782.469089490955,-30389.681365159515,2020-07-13
0,-6069.957492738656,-1380.929379058278,6013.3524108141655,2020-07-14
0,-10685.763975658938,-10895.639204587122,-10332.233279680919,2020-07-15
0,-11586.799120708964,-6599.760337932543,-1284.4858901216405,2020-07-16
0,-14926.97669308255,-23733.860509609127,-28869.738782501554,2020-07-17
0,-8931.09242048414,-302.78279987531397,8107.388892783922,2020-07-20
